policy,creation_cost,n_rounds,cum_total_loss,cum_mismatch_loss,cum_creation_cost,n_created,final_library_size,avg_loss,avg_mismatch_loss,create_rate,p,backend,seed
AlwaysCreate,0.05,66,3.2999999999999994,0.0,3.2999999999999994,66,78,0.04999999999999999,0.0,1.0,,tfidf,0
NearestReuse,0.05,66,40.514135543001856,40.514135543001856,0.0,0,12,0.6138505385303311,0.6138505385303311,0.0,,tfidf,0
FixedProb(p=0.25),0.05,66,27.331898495510334,26.681898495510335,0.65,13,25,0.414119674174399,0.40427118932591416,0.19696969696969696,0.25,tfidf,0
FixedProb(p=0.5),0.05,66,15.92693253829964,14.47693253829964,1.45,29,41,0.24131715967120668,0.21934746270150968,0.4393939393939394,0.5,tfidf,0
DoublyOptimistic,0.05,66,3.2999999999999994,0.0,3.2999999999999994,66,78,0.04999999999999999,0.0,1.0,,tfidf,0
AlwaysCreate,0.1,66,6.599999999999999,0.0,6.599999999999999,66,78,0.09999999999999998,0.0,1.0,,tfidf,0
NearestReuse,0.1,66,40.514135543001856,40.514135543001856,0.0,0,12,0.6138505385303311,0.6138505385303311,0.0,,tfidf,0
FixedProb(p=0.25),0.1,66,27.981898495510336,26.681898495510335,1.3,13,25,0.4239681590228839,0.40427118932591416,0.19696969696969696,0.25,tfidf,0
FixedProb(p=0.5),0.1,66,17.37693253829964,14.47693253829964,2.9,29,41,0.2632868566409037,0.21934746270150968,0.4393939393939394,0.5,tfidf,0
DoublyOptimistic,0.1,66,5.105751650936174,0.10575165093617468,5.0,50,62,0.07735987349903294,0.0016022977414571922,0.7575757575757576,,tfidf,0
AlwaysCreate,0.2,66,13.199999999999998,0.0,13.199999999999998,66,78,0.19999999999999996,0.0,1.0,,tfidf,0
NearestReuse,0.2,66,40.514135543001856,40.514135543001856,0.0,0,12,0.6138505385303311,0.6138505385303311,0.0,,tfidf,0
FixedProb(p=0.25),0.2,66,29.281898495510337,26.681898495510335,2.6,13,25,0.4436651287198536,0.40427118932591416,0.19696969696969696,0.25,tfidf,0
FixedProb(p=0.5),0.2,66,20.276932538299636,14.47693253829964,5.8,29,41,0.3072262505802975,0.21934746270150968,0.4393939393939394,0.5,tfidf,0
DoublyOptimistic,0.2,66,8.087620811246698,0.8876208112466967,7.2,36,48,0.1225397092613136,0.013448800170404495,0.5454545454545454,,tfidf,0
AlwaysCreate,0.35,66,23.100000000000005,0.0,23.100000000000005,66,78,0.3500000000000001,0.0,1.0,,tfidf,0
NearestReuse,0.35,66,40.514135543001856,40.514135543001856,0.0,0,12,0.6138505385303311,0.6138505385303311,0.0,,tfidf,0
FixedProb(p=0.25),0.35,66,31.231898495510336,26.681898495510335,4.55,13,25,0.4732105832653081,0.40427118932591416,0.19696969696969696,0.25,tfidf,0
FixedProb(p=0.5),0.35,66,24.62693253829964,14.47693253829964,10.149999999999999,29,41,0.3731353414893885,0.21934746270150968,0.4393939393939394,0.5,tfidf,0
DoublyOptimistic,0.35,66,11.360211021208263,3.6602110212082657,7.7,22,34,0.1721244094122464,0.05545774274557978,0.3333333333333333,,tfidf,0
AlwaysCreate,0.5,66,33.0,0.0,33.0,66,78,0.5,0.0,1.0,,tfidf,0
NearestReuse,0.5,66,40.514135543001856,40.514135543001856,0.0,0,12,0.6138505385303311,0.6138505385303311,0.0,,tfidf,0
FixedProb(p=0.25),0.5,66,33.18189849551033,26.681898495510335,6.5,13,25,0.5027560378107626,0.40427118932591416,0.19696969696969696,0.25,tfidf,0
FixedProb(p=0.5),0.5,66,28.97693253829964,14.47693253829964,14.5,29,41,0.4390444323984794,0.21934746270150968,0.4393939393939394,0.5,tfidf,0
DoublyOptimistic,0.5,66,14.595083663754401,7.5950836637544015,7.0,14,26,0.2211376312690061,0.11507702520840002,0.21212121212121213,,tfidf,0
