study,x,policy,avg_loss,avg_loss_std
traffic,1.0,StaticThreshold,0.1438799246972305,0.012727809428396498
traffic,1.0,DoublyOptimistic,0.15042217361409033,0.008690130834671975
traffic,2.0,StaticThreshold,0.10680740613702497,0.011671216713817857
traffic,2.0,DoublyOptimistic,0.09121271840573711,0.005315930640661052
traffic,3.0,StaticThreshold,0.0953367423884616,0.011564211095325376
traffic,3.0,DoublyOptimistic,0.06869374356896589,0.004332509381458895
traffic,4.0,StaticThreshold,0.08953752639685562,0.011870784025587899
traffic,4.0,DoublyOptimistic,0.05644437497903345,0.0037307978305839693
traffic,5.0,StaticThreshold,0.08611333076641274,0.011686088545781955
traffic,5.0,DoublyOptimistic,0.048596774976378286,0.0031608305969491692
traffic,6.0,StaticThreshold,0.08392416215646628,0.01165485917638467
traffic,6.0,DoublyOptimistic,0.043742868698099846,0.0030933128455149514
structure,0.0,StaticThreshold,0.056479835312125096,0.0011174105601651392
structure,0.0,DoublyOptimistic,0.0369475191704881,0.0015505236591760103
structure,0.1,StaticThreshold,0.060060730906311935,0.0033869123995865745
structure,0.1,DoublyOptimistic,0.041720345855435124,0.0021873290817863793
structure,0.2,StaticThreshold,0.06753537593924559,0.006111946415293305
structure,0.2,DoublyOptimistic,0.0435223415569691,0.0009361384528362072
structure,0.3,StaticThreshold,0.0755621444118079,0.008875226717909196
structure,0.3,DoublyOptimistic,0.043034911204956255,0.0025511009736559893
structure,0.4,StaticThreshold,0.08392416215646628,0.01165485917638467
structure,0.4,DoublyOptimistic,0.043742868698099846,0.0030933128455149514
structure,0.5,StaticThreshold,0.09234151169089731,0.014414840637437868
structure,0.5,DoublyOptimistic,0.04386156887479645,0.003397698743949303
